name, latitude, longitude
Kabupaten Kulon Progo, -7.8121218, 109.9793203
Kabupaten Bantul, -7.8978176, 110.1979378
Kabupaten Gunung Kidul, -7.9923743, 110.2522484
Kota Yogyakarta, -7.8031634, 110.3336447
