Name, Latitude, Longitude
Kota Tangerang Selatan, -6.295326, 106.6259091
Kabupaten Pandeglang, -6.6171469, 104.9783717
Kabupaten Lebak, -6.6425628,105.8649051
Kabupaten Tangerang, -6.1815178, 106.3677686
Kabupaten Serang, -6.1058247, 105.7881095
Kota Tangerang, -6.1765105,106.5676306
Kota Cilegon, -5.9684985, 105.9214231
Kota Serang, -6.1105666, 106.1178197
